domain,status,label,detail,timestamp
sg1.cnsc.cc,malicious,"钓鱼网站, 垃圾邮件, 僵尸网络",域名存在隐私保护异常、邮件安全配置缺失、IP与注册地不匹配、SSL证书覆盖局限及DNS历史异常等多维度风险特征，且当前无法访问可能隐藏恶意活动。,2025-08-12 20:00:45
kittyuwubotnet.online,malicious,"僵尸网络,C2服务器",域名包含'botnet'关键词，注册信息隐藏，域名状态异常，DNS解析历史显示NXDOMAIN，且缺乏邮件安全策略和SSL证书，综合DGA检测结果高度疑似恶意活动。,2025-08-12 20:01:54
endpoint.silent.rip,malicious,"钓鱼网站, 隐蔽通信, C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失及SSL证书短期有效等高风险特征，结合其潜在隐蔽性用途及历史IP指向，高度疑似用于恶意活动。,2025-08-12 20:02:39
jfbd.com,malicious,"钓鱼网站, 垃圾邮件, 恶意软件分发",域名存在IP地址频繁变更、DNSSEC未启用、邮件安全配置不完善、SSL证书信息缺失等异常行为，且被防火墙标记为恶意软件，存在高风险。,2025-08-12 20:03:32
moruk.xyz,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息不透明、DNS频繁变更、邮件安全策略缺失等高风险特征，且当前解析异常可能隐藏真实用途，符合钓鱼及垃圾邮件的典型行为模式。,2025-08-12 20:04:23
world-safest.asia,malicious,"钓鱼网站, 垃圾邮件, 僵尸网络",域名存在DNS解析失败、隐私信息隐藏、邮件安全机制缺失、SSL证书缺失及地理位置异常等多重风险特征，高度疑似用于网络钓鱼、垃圾邮件分发或作为僵尸网络C2服务器。,2025-08-13 11:14:22
rootsite.fun,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在serverHold状态、DNS解析失败、注册信息完全隐藏、缺乏邮件安全配置等异常特征，且网站无法解析，高度疑似用于隐蔽的恶意活动。,2025-08-13 11:15:54
wlldberries.pro,malicious,钓鱼网站,域名拼写与知名电商平台Wildberries高度相似且存在DNS解析异常、Whois信息缺失、邮件安全配置缺失等多项可疑特征，高度疑似仿冒网站用于钓鱼攻击。,2025-08-13 11:17:05
phubotnet.duckdns.org,malicious,"僵尸网络, C2服务器",域名存在信息隐蔽性、DNS解析异常及使用免费动态DNS服务（DuckDNS）的特征，结合DGA检测结果，高度疑似用于僵尸网络通信或恶意C2服务器。,2025-08-13 11:18:24
boxwoodrenovations.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息缺失、DNS解析异常、邮件安全策略未配置及SSL证书配置错误，存在隐蔽性及潜在恶意行为特征。,2025-08-13 11:19:57
yorja.org,benign,-,域名属于合法非营利组织YORJA，无恶意行为证据，但需完善邮件安全配置（如DMARC和DKIM）。,2025-08-13 11:21:32
saipem-projects.cloud,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失及SSL证书缺失等高风险特征，可能被用于钓鱼攻击或发送垃圾邮件。,2025-08-13 11:22:38
petrofac-files.cloud,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名注册信息完全隐藏且状态异常，DNS解析失败并关联尼日利亚IP，缺乏邮件安全配置及SSL证书，存在被用于钓鱼攻击、垃圾邮件及恶意通信的高风险。,2025-08-13 11:24:16
lpdesigns.uk,benign,-,域名虽存在注册信息缺失、DNS解析异常及SSL证书配置不匹配等问题，但DGA检测结果为合法，且无直接证据表明其参与恶意活动。,2025-08-13 11:25:06
zrselecttravel.com,benign,-,尽管存在Whois信息缺失、SSL证书异常及DNS记录异常等风险，但网站内容分析显示其为合法旅游服务公司，且DGA检测结果为legit，未发现明确恶意行为证据。,2025-08-13 11:26:44
sos-atlanta.com,benign,-,域名通过DGA检测（结果为legit），邮件安全配置存在但不完善（SPF有效，DMARC和DKIM缺失），SSL证书查询失败可能为临时网络问题，无明确恶意行为证据。,2025-08-13 11:28:25
badabyms.site,malicious,"垃圾邮件,钓鱼网站",域名存在隐私保护异常、DNS记录矛盾、邮件安全缺失及SSL证书风险，且DGA检测为恶意生成，高度疑似用于垃圾邮件或钓鱼攻击。,2025-08-13 11:29:54
nabpoints.vip,malicious,"钓鱼网站, 垃圾邮件, 恶意软件分发",注册信息异常（隐私保护+乱码组织名）、域名锁定状态、DNS解析失败及历史可疑IP关联、缺乏邮件安全配置、可疑DNS服务商，综合指向恶意用途,2025-08-13 11:31:07
correo7.shop,malicious,钓鱼网站,域名解析异常、Whois信息缺失、缺乏邮件安全配置且无法访问网站内容，结合域名结构暗示与邮件相关，高度疑似用于钓鱼攻击。,2025-08-13 11:32:42
spost.vip,malicious,"钓鱼网站, C2服务器",域名存在高度隐私化的WHOIS信息、异常注册商、缺失邮件安全配置、无法解析的DNS记录及历史异常解析路径，综合判断为高风险恶意域名。,2025-08-13 11:34:00
kuwaitpost.shop,malicious,钓鱼网站,注册信息异常、DNS解析失败及邮件安全缺失，存在伪装科威特邮政的钓鱼网站风险,2025-08-13 11:35:10
marketing.silk-gen.com,benign,-,域名未发现明确的恶意行为，但存在邮件安全配置缺失和隐私隐藏等潜在风险，需持续监控。,2025-08-13 11:36:13
uk.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在隐私信息隐藏、异常注册信息、缺乏邮件安全配置、新注册无历史记录及SSL配置缺陷等高风险特征，且网站无法访问可能隐藏恶意用途。,2025-08-13 11:37:51
en.silk-gen.com,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在注册信息隐藏、DNS解析异常、邮件安全缺失及SSL证书缺失等多风险特征，且网站无法访问，高度疑似用于恶意活动。,2025-08-13 11:39:46
qa.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息被隐藏，邮件安全机制缺失，DNS解析异常且网站无法访问，存在高风险行为特征。,2025-08-13 11:46:52
dashboard.silk-gen.com,malicious,可疑域名，可能存在隐藏用途或安全配置缺失,域名解析到荷兰IP，历史记录时间矛盾，缺乏邮件安全配置（SPF/DMARC/DKIM），SSL证书查询失败，且网站无法访问，存在潜在恶意行为风险。,2025-08-13 11:48:30
test.silk-gen.com,benign,-,域名虽存在隐私信息隐藏、注册时间短等异常点，但DGA检测结果为合法，且SSL证书由可信机构颁发，暂未发现明确恶意行为证据。,2025-08-13 11:49:49
admin.silk-gen.com,benign,-,域名注册信息存在隐私保护和地理位置不一致等异常，但无直接证据表明其为恶意域名，且DGA检测结果为合法。,2025-08-13 11:51:23
demo.silk-gen.com,benign,-,域名未发现明确的恶意行为，但存在隐私信息隐藏和邮件安全配置缺失等潜在风险，需进一步监控。,2025-08-13 11:52:23
app.silk-gen.com,benign,-,域名未表现出明确的恶意特征，如DGA检测结果为合法，且SSL证书存在，但因无法访问网站内容，无法完全排除潜在风险。,2025-08-13 11:54:25
adrianfrieg.com,benign,-,域名注册信息合法且SSL证书有效，DNS解析正常，尽管邮件安全措施缺失，但无明确恶意行为证据。,2025-08-13 11:55:41
d1la028jgo7s1ql06100ompri631xr6a1.oast.site,malicious,"钓鱼网站,C2服务器",域名符合DGA特征，注册信息隐蔽，DNS及邮件安全配置缺陷，SSL缺失，且由随机字符构成，高度疑似用于网络钓鱼及隐蔽的C2通信。,2025-08-13 11:57:40
conclaseigboxas.com,malicious,"C2服务器, 钓鱼网站",域名通过DGA算法生成，DNS解析指向多国异常IP，缺乏邮件安全配置，且域名字符无意义，符合恶意域名特征。,2025-08-13 11:59:28
buyedmeds.top,malicious,"钓鱼网站, 垃圾邮件, 非法药品交易",域名存在隐私信息隐藏、异常DNS配置（含本地回环地址）、缺乏邮件安全机制、域名状态异常等高风险特征，且网站无法解析可能用于隐藏非法药品交易或恶意服务。,2025-08-13 12:00:34
d1la028jgo7s1ql06100qyboebdkwt11j.oast.site,malicious,"钓鱼网站,C2服务器,恶意软件分发",DGA检测结果结合域名随机字符结构、注册信息异常、DNS解析失败及缺乏安全记录，高度指向恶意用途。,2025-08-13 12:02:03
getin.top,malicious,"钓鱼网站,C2服务器",域名存在DNS配置异常、邮件安全机制缺失、DNSSEC未启用等高风险特征，且当前无法访问可能隐藏非法用途。,2025-08-13 12:03:17
city.organzoperate.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在隐私隐藏、DNS记录矛盾、邮件安全缺失、SSL异常及拼写仿冒等多重高风险特征，且DGA检测为恶意生成，高度疑似用于钓鱼、垃圾邮件及恶意通信。,2025-08-13 12:04:59
crew.organzoperate.com,malicious,"钓鱼网站, C2服务器, 垃圾邮件",域名存在隐私隐藏、高风险注册地、邮件安全缺失、SSL异常、IP地理位置矛盾及未来注册时间等多重高风险特征，且网站无法访问，疑似伪装或短期恶意活动。,2025-08-13 12:06:50
camp.organzoperate.com,malicious,"钓鱼网站,C2服务器",域名存在隐私信息隐藏、异常域名状态、邮件安全缺失、历史DNS异常及SSL配置不完整等多项风险特征，结合DGA检测结果及拼写异常，高度疑似用于钓鱼攻击和恶意通信。,2025-08-13 12:08:07
dive.organzoperate.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在隐私保护、新注册异常、DNS地理位置不一致、缺乏邮件安全配置及SSL证书局限性，结合DGA检测结果和无法访问的网站内容，高度疑似用于钓鱼、垃圾邮件或C2通信。,2025-08-13 12:09:53
club.organzoperate.com,malicious,C2服务器,域名被DGA检测标记为恶意，且注册信息隐藏、IP地理位置异常、邮件安全措施缺失，符合C2服务器特征。,2025-08-13 12:11:06
onlinehotvideos.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息隐藏、网站账户被托管服务商暂停、邮件安全配置不完整（无DMARC、DKIM），且域名解析指向可能与恶意活动相关的IP地址，综合判断存在高风险。,2025-08-13 12:12:38
shivalikhyundai.co.in,malicious,"钓鱼网站, 垃圾邮件",域名注册信息模糊且存在IP漂移，邮件安全配置缺失，SSL证书时间戳异常，网站目录暴露潜在攻击面，综合判断存在恶意行为风险。,2025-08-13 12:13:40
con.third-domain.su,malicious,"钓鱼网站, 垃圾邮件中转, C2服务器",域名存在注册信息不透明、DNS解析异常（临时劫持/短时恶意活动）、邮件安全机制缺失及短期活跃记录，高度疑似用于钓鱼、垃圾邮件或作为C2服务器。,2025-08-13 12:15:11
cdn.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在隐私信息隐藏、未配置邮件安全机制、新注册无历史记录、IP归属异常及SSL证书缺失等高风险特征，且当前无法访问可能隐藏恶意用途。,2025-08-13 14:21:54
blog.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件",域名存在隐私信息隐藏、地理位置不一致、邮件安全措施缺失、生命周期异常等高风险特征，且无法访问的网站可能隐藏恶意用途。,2025-08-13 14:23:54
api.silk-gen.com,malicious,"C2服务器, 垃圾邮件",域名注册信息高度隐私化、IP地址与注册地不匹配、缺乏邮件安全机制、网站无法访问且DNS记录异常，综合判断存在恶意行为风险。,2025-08-13 14:25:23
secure.third-domain.su,malicious,"钓鱼网站, C2服务器",域名注册信息缺失、DNS解析异常、IP归属不一致、缺乏邮件安全机制及SSL证书信息不可用，且网站无法访问，高度疑似用于钓鱼或恶意通信。,2025-08-13 14:26:34
tersmoles.com,malicious,"垃圾邮件,钓鱼网站,僵尸网络",域名存在DGA特征，DNS解析异常，缺乏邮件安全记录，NS服务器指向隐蔽网络，且网站无法访问，高度疑似恶意用途。,2025-08-13 14:28:20
vrfbknsr.com,malicious,"钓鱼网站,C2服务器",域名存在Whois信息缺失、异常注册商、DNS配置跳转、缺乏邮件和SSL安全防护、短期注册等高风险特征，结合DGA检测结果及无法访问的异常状态，高度疑似用于钓鱼攻击或作为恶意C2服务器。,2025-08-13 14:32:42
vrfbkns.com,malicious,C2服务器,域名通过DGA检测，注册信息缺失，DNSSEC未启用，缺乏邮件安全配置，NS记录异常分布，结合网站返回403错误及潜在配置风险，高度疑似用于恶意通信或隐蔽攻击活动。,2025-08-13 14:35:16
bookvrfsrv.com,malicious,C2服务器,域名通过DGA检测，WHOIS信息缺失，DNS解析异常，且网站返回403错误，结合Nginx服务器配置及SSL证书异常，高度疑似用于恶意通信或C2服务器。,2025-08-13 14:36:40
lunazinvest.com,malicious,"垃圾邮件, 钓鱼网站",域名存在隐私保护异常、DNS解析失败、邮件安全策略缺失、短期注册及网站账户被暂停等多风险特征，综合指向潜在恶意行为。,2025-08-13 14:38:12
kryptoav.com,malicious,"钓鱼网站, C2服务器",域名存在DGA特征、隐私信息隐藏、DNS解析异常、邮件安全配置缺失、新注册锁定状态及网站被暂停等多维度风险，高度疑似用于钓鱼攻击及恶意通信。,2025-08-13 14:39:39
apiordrg.icu,malicious,"垃圾邮件, 勒索软件",域名注册信息存在不一致，DNS解析失败，邮件安全配置缺失，历史记录中出现NXDOMAIN，结合DGA检测结果，存在高风险恶意行为可能性。,2025-08-13 14:41:46
lomejordesalamanca.es,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、历史关联恶意IP、邮件安全配置缺失及SSL证书覆盖不全等风险，且网站为默认测试页面可能被用于隐藏真实业务或实施网络钓鱼攻击。,2025-08-13 14:43:12
idk.1f2e18bbde8ecc30ee3307a4.net,malicious,"C2服务器, 钓鱼网站, 垃圾邮件",域名结构异常（十六进制随机字符串）、注册信息隐蔽（开曼群岛隐私保护）、DNS解析IP地理位置矛盾、缺乏邮件安全配置（无SPF/DMARC/DKIM）及SSL证书异常，结合DGA检测结果，高度疑似恶意域名用于C2通信和网络钓鱼活动。,2025-08-13 14:45:15
intelligentopennetworkingawards.com,malicious,钓鱼网站,域名注册信息缺失、邮件安全配置缺失、IP地址归属不明、历史DNS记录异常，综合判断存在高风险,2025-08-13 14:46:51
checkinetverifk.com,malicious,"钓鱼网站,C2服务器",域名存在DGA特征、注册信息异常隐藏真实身份、缺乏邮件安全配置且依赖Cloudflare隐藏真实IP，结合新注册无历史记录及网站返回404可能用于恶意活动,2025-08-13 15:22:29
easyfiles.cc,malicious,"钓鱼网站, 垃圾邮件",域名通过隐私保护隐藏真实信息，DNS解析异常且历史记录显示可疑IP关联，网站内容诱导访问高风险域名donarev419.com，并存在文件安全风险和社交工程风险。,2025-08-13 15:23:35
file.volcano.best,malicious,"钓鱼网站, 垃圾邮件",域名注册信息隐藏、DNS解析异常、邮件安全机制缺失、SSL证书信息不可用，且历史记录显示子域名曾指向Cloudflare但近期出现NXDOMAIN错误，存在高风险行为特征。,2025-08-13 15:25:01
lightsense.top,malicious,"垃圾邮件, 钓鱼网站",域名刚注册且被锁定、隐私信息隐藏、缺乏邮件安全配置（SPF/DMARC/DKIM）、DNS解析异常及Cloudflare异常关联，存在高风险被用于垃圾邮件或钓鱼活动。,2025-08-13 15:26:24
cegelecinfo.fr,benign,-,域名虽存在邮件安全配置不足（未设置DMARC和DKIM）及Whois信息异常（状态为'not identified'），但无明确恶意行为证据，且SSL证书有效，网站内容显示为已关闭的历史存档，未发现直接恶意活动。,2025-08-13 15:28:26
download.pdf00.com,benign,-,域名未发现明确恶意行为特征，但存在配置不当风险（如邮件安全策略缺失、403错误可能暴露服务器信息），需进一步验证实际用途及权限配置。,2025-08-13 15:29:38
www.chrome-update.pro,malicious,"钓鱼网站, 恶意软件分发",域名伪装成Chrome官方更新服务，存在Whois信息缺失、DNS解析异常、SSL证书伪装及未来有效期等多维度高风险特征，结合网站内容分析指向钓鱼及恶意软件分发行为,2025-08-13 15:31:54
64thservice.life,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失及SSL证书矛盾等高风险特征，可能被用于钓鱼攻击或垃圾邮件活动。,2025-08-13 15:33:10
w1.verkut.host,malicious,"垃圾邮件, 钓鱼网站",域名状态异常（serverHold）、隐私信息隐藏、DNS解析失败及缺乏邮件安全配置（MX/SPF等）共同指向高风险行为，可能被用于垃圾邮件或钓鱼攻击。,2025-08-13 15:34:15
gumsavvy.com,malicious,"垃圾邮件, 钓鱼网站",域名存在Whois信息缺失、DNS解析异常、历史NXDOMAIN记录及邮件安全策略缺失等多维度风险特征，高度疑似用于垃圾邮件分发或钓鱼攻击。,2025-08-13 15:35:33
www.consorzio-tfc.it,benign,-,域名当前显示为合法组织注册的维护页面，DGA检测结果为良性，未发现直接恶意行为证据，但存在配置缺陷需改进,2025-08-13 15:36:31
alina-quintana.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在SSL证书不匹配、邮件安全措施缺失、DNSSEC未启用、IP来源可疑等多重异常，且网站无法访问，高度疑似恶意用途。,2025-08-13 15:39:05
play-the-play-lp.com,malicious,"钓鱼网站, 垃圾邮件",域名使用隐私保护服务、DNS解析异常、邮件安全机制缺失及SSL证书信息不匹配，存在高风险行为特征。,2025-08-13 15:40:10
stioman.com,malicious,"钓鱼网站,C2服务器",域名存在Whois信息缺失、邮件安全配置缺陷、SSL证书异常覆盖范围及未生效时间、历史DNS分析失败等高风险特征，且网站当前无法访问，符合恶意域名隐蔽性特征。,2025-08-13 15:42:22
www.technoproject.it,malicious,钓鱼网站,域名缺乏邮件安全配置和SSL证书，注册信息可疑且DNS解析异常，结合维护页面可能被用于诱导用户输入敏感信息的伪装风险。,2025-08-13 15:43:45
www.sbsbiz.com.my,benign,-,域名属于合法商业实体，无直接恶意行为证据，但存在安全配置不足和隐私保护风险,2025-08-13 15:45:00
deathmatchuk.com,malicious,"垃圾邮件,C2服务器",域名存在DNS异常变动、邮件安全配置缺失、子域名异常及测试环境暴露等风险，可能被用于垃圾邮件发送或作为C2服务器。,2025-08-13 15:46:20
kb43.jiayoutk.top,malicious,"钓鱼网站, 垃圾邮件",域名存在服务器锁定和即将删除状态，隐私信息隐藏，DNS解析异常且SSL证书过期，结合随机子域名特征及缺乏邮件安全记录，高度疑似用于钓鱼或垃圾邮件活动。,2025-08-13 15:47:29
balistat.lol,malicious,C2服务器,域名通过DGA检测，且WHOIS信息高度隐蔽（注册人信息缺失、域名状态异常），符合恶意域名特征。,2025-08-13 15:48:46
louisvuitton.mom,malicious,钓鱼网站,域名高度仿冒奢侈品牌Louis Vuitton，使用非官方TLD('.mom')，DNS解析异常且未配置邮件安全机制，存在明显的品牌仿冒和钓鱼网站特征。,2025-08-13 15:49:47
cloud-s3-storage.net,malicious,"钓鱼网站, 垃圾邮件",域名通过隐私保护隐藏真实注册信息，DNS服务器指向异常地理位置，缺乏邮件安全配置，且伪装成AWS S3存储服务名称诱导信任，存在高风险恶意行为嫌疑。,2025-08-13 15:50:59
sontungcoffee.com,benign,-,域名虽存在Whois信息缺失、DNS解析异常及邮件安全配置不足等风险，但网站内容分析显示其为合法咖啡品牌电商平台，无明确恶意行为证据。,2025-08-13 15:52:33
ndirection.kr,malicious,"垃圾邮件, 恶意软件分发, 钓鱼网站",域名存在DNS异常、未配置邮件安全机制、缺失SSL证书、注册信息可疑，且网站内容可能包含未验证的第三方工具及版权争议文件，存在恶意软件传播和钓鱼攻击风险。,2025-08-13 15:54:09
www.nabpoints.vip,malicious,"钓鱼网站, 垃圾邮件",域名注册信息异常且存在仿冒银行积分系统特征，DNS解析失败且缺乏邮件安全配置，高度疑似钓鱼及垃圾邮件用途。,2025-08-13 15:55:12
www.retirify.sbs,malicious,"钓鱼网站, 恶意软件分发",域名存在DNS解析异常、DNS Parking服务关联、邮件安全缺失、隐私信息隐藏及网站内容可能分发非官方软件等多重风险，且文件时间戳异常，高度疑似用于钓鱼或恶意软件传播。,2025-08-13 15:56:33
us.silk-gen.com,malicious,"钓鱼网站,C2服务器",域名存在注册信息隐蔽、IP地理位置矛盾、邮件安全缺失、SSL异常及无法访问等多维度风险，且无法验证其合法性，高度疑似用于钓鱼或作为隐蔽服务器,2025-08-13 15:57:46
preview.silk-gen.com,malicious,"垃圾邮件, 钓鱼网站, 僵尸网络",域名存在隐私保护异常、DNS解析失败、邮件安全配置缺失、关联IP潜在恶意风险及短期注册特征，综合指向恶意用途。,2025-08-13 15:59:19
raw.brrewsh.org,malicious,"C2服务器, 钓鱼网站",域名存在DGA特征、隐私信息隐藏、DNS解析异常、缺乏邮件安全配置及SSL证书局限性，综合指向恶意行为,2025-08-13 16:00:28
walkin.college,malicious,"钓鱼网站, 垃圾邮件",域名存在锁定状态、DNS解析异常、邮件安全缺失及注册信息隐藏等高风险特征，可能被用于钓鱼或垃圾邮件活动。,2025-08-13 16:02:17
d1la028jgo7s1ql06100fwencrwmxzezq.oast.site,malicious,"C2服务器, 僵尸网络",DGA检测结果结合域名锁定状态异常、DNS解析失败、无邮件安全配置及随机字符结构，高度指向隐蔽通信与恶意控制行为。,2025-08-13 16:03:23
d1la028jgo7s1ql06100gsdiypjdiqzxb.oast.site,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名符合DGA特征，注册信息异常隐藏真实身份，DNS解析失败且缺乏安全记录，随机字符组合高度疑似用于恶意用途。,2025-08-13 16:04:39
d1la028jgo7s1ql06100iz5486gf5r77w.oast.site,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名被全面锁定且DNS解析异常，注册信息隐蔽，结合DGA检测结果及随机字符结构，高度疑似用于钓鱼攻击、垃圾邮件分发及恶意通信。,2025-08-13 16:05:55
t0urist.cv,malicious,"钓鱼网站,垃圾邮件",域名注册信息高度缺失且DNS配置异常，结合短期注册特征及邮件安全记录缺失，高度疑似用于钓鱼或垃圾邮件活动。,2025-08-13 16:07:43
helpfullyk.click,malicious,恶意域名生成（DGA）,域名通过DGA检测，且存在异常域名状态、隐藏注册信息及DNS解析异常，高度疑似恶意用途。,2025-08-13 16:08:43
card.organzoperate.com,malicious,"钓鱼网站,垃圾邮件,C2服务器,僵尸网络",域名存在DGA特征、DNS解析异常、邮件安全机制缺失、隐私保护过度及非主流DNS服务器等多维度高风险指标，且无法正常解析可能用于隐蔽恶意活动。,2025-08-13 16:09:54
book.organzoperate.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名通过DGA检测、隐私信息隐藏、未配置邮件安全措施、短期活动及异常IP归属等多维度指标，高度疑似用于钓鱼攻击、垃圾邮件分发及恶意通信。,2025-08-13 16:11:31
buzz.organzoperate.com,malicious,"钓鱼网站,C2服务器,僵尸网络",域名存在隐私信息隐藏、邮件安全缺失、SSL证书异常、DGA检测阳性及无法访问等高风险特征，且域名拼写异常，高度疑似用于钓鱼攻击或作为恶意网络的C2服务器,2025-08-13 16:13:09
bon.organzoperate.com,malicious,"C2服务器, 垃圾邮件, 钓鱼网站",域名存在DGA特征、隐私信息隐藏、新注册限制操作、邮件安全配置缺失、异常IP解析及拼写错误等多维度高风险指标，且无法访问的网站可能隐藏恶意行为。,2025-08-13 16:14:57
ara.organzoperate.com,malicious,"C2服务器, 钓鱼网站, 垃圾邮件",域名存在隐私隐藏、高风险注册地、DNS/邮件配置缺失等异常特征，且DGA检测为恶意域名，高度疑似用于C2通信及网络钓鱼活动。,2025-08-13 16:16:18
cook.organzoperate.com,malicious,"钓鱼网站,C2服务器",DGA检测阳性、域名隐私隐藏、DNS解析异常、无邮件安全记录、可疑注册地及拼写异常共同指向恶意用途,2025-08-13 16:17:49
home.organzoperate.com,malicious,钓鱼网站,域名注册信息隐藏，邮件安全措施缺失，历史DNS记录异常，且域名拼写疑似错误，存在高风险的恶意行为特征。,2025-08-13 16:18:55
d1la028jgo7s1ql0610039akhscnuha47.oast.site,malicious,"钓鱼网站, 垃圾邮件, 恶意软件分发",域名由随机字符组成且无实际业务信息，DGA检测为恶意生成，解析异常并缺乏安全记录，高度疑似用于网络钓鱼和恶意软件分发。,2025-08-13 16:20:06
co.third-domain.su,malicious,"钓鱼网站,垃圾邮件,HTTPS通信风险",域名存在Whois信息缺失、邮件安全配置缺失、SSL证书异常、历史DNS记录时间戳为未来日期等多项高风险特征，且网站无法访问，存在被用于钓鱼攻击和恶意通信的潜在可能。,2025-08-13 16:21:52
core.third-domain.su,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名新注册且Whois信息异常（无组织信息、自定义邮箱）、DNS解析失败、缺乏邮件安全配置（无MX/SPF/DMARC/DKIM）、历史IP关联加拿大IP（需进一步核查）、SSL证书仅覆盖主域名且网站无法访问，综合指向潜在恶意用途。,2025-08-13 16:23:05
irs.third-domain.su,malicious,钓鱼网站,域名结构模仿美国国税局（IRS），使用 .su 国家代码顶级域名（非官方机构常用），且缺乏邮件安全配置，存在高度伪装官方机构进行钓鱼攻击的嫌疑。,2025-08-13 16:24:19
connect.third-domain.su,benign,-,域名注册信息不完整且存在潜在风险，但无直接证据表明其为恶意域名，当前无法访问可能由服务器配置或网络问题导致，需持续监控。,2025-08-13 16:25:37
uranet.duckdns.org,malicious,"C2服务器, 僵尸网络",域名存在DGA特征、Whois信息缺失、DNS解析异常、邮件安全机制缺失及SSL证书缺失，结合DuckDNS服务特性，高度疑似用于恶意活动。,2025-08-13 16:26:49
alababababa.cloud,malicious,C2服务器,域名符合DGA特征，且解析异常、注册信息隐藏，指向潜在恶意行为。,2025-08-13 16:27:52
knmvrf.com,malicious,"钓鱼网站, C2服务器",域名存在DGA检测标记、Whois信息缺失、DNS记录异常、无邮件安全配置及SSL证书缺失，且网站返回403错误，可能用于隐蔽通信或钓鱼活动。,2025-08-13 16:29:16
bokneg.com,malicious,"域名伪造, 潜在C2服务器, 缺乏安全配置",域名注册信息异常（Microsoft名义注册但显示个人姓名和德国地址），DNS解析历史涉及伊朗和中国IP，未配置邮件安全和SSL证书，网站返回403错误且使用Nginx服务器，存在高风险行为特征。,2025-08-13 16:30:29
www.machelp.cloud,malicious,"恶意软件分发, 钓鱼网站",域名注册信息不透明、缺乏邮件安全配置、依赖CDN隐藏真实基础设施，且网站内容包含大量高风险可执行文件及脚本，存在伪装合法软件诱导下载的恶意行为。,2025-08-13 16:32:16
meuespacoacabamentos.com.br,malicious,"钓鱼网站, 垃圾邮件",域名注册信息缺失、IP地址频繁变更、邮件安全配置不完善，且网站内容过于简单，存在潜在的钓鱼和垃圾邮件风险。,2025-08-13 16:33:17
nitrosoftwares.com,benign,钓鱼网站,域名存在拼写异常（softwares→software）及邮件安全配置缺失，结合网站无法访问和服务器异常，存在潜在钓鱼风险，但无直接恶意行为证据。,2025-08-13 16:35:16
investtrad.com,benign,"钓鱼网站, 垃圾邮件",域名存在Whois信息不透明、DNS解析异常及邮件安全记录缺失等可疑特征，且网站内容可能包含投资误导风险，但当前无直接证据表明其正在进行明确的恶意活动。,2025-08-13 16:36:48
uploadanything.cc,malicious,"钓鱼网站, C2服务器",域名存在DGA检测结果、WHOIS信息缺失、邮件安全机制缺失、短期注册及IP地址异常变动等多条高风险特征，结合维护页面可能隐藏真实用途，高度疑似用于钓鱼或作为恶意通信服务器。,2025-08-13 16:38:48
h4.disbeliefpapaya.top,malicious,"钓鱼网站, 僵尸网络, 垃圾邮件",域名存在隐私隐藏、DNS配置异常、无历史解析记录及邮件安全缺失等多项可疑特征，且无法正常解析，高度疑似用于钓鱼、僵尸网络通信或垃圾邮件分发。,2025-08-13 16:40:08
kaczor.org,malicious,"钓鱼网站, 垃圾邮件",域名注册信息高度隐藏，DNS历史记录频繁变更，邮件安全配置不完善，存在被用于钓鱼或垃圾邮件的高风险。,2025-08-13 16:41:11
produos.net,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在Whois信息缺失、邮件安全配置不完整、DGA检测阳性及SSL证书覆盖有限等高风险特征，结合网站内容可能存在信息伪造及隐藏恶意行为，综合判断为恶意域名。,2025-08-13 16:42:48
hotellacastellana.com.uy,benign,"垃圾邮件, 钓鱼网站",域名虽存在Whois信息缺失、IP频繁变更、邮件安全配置缺陷及SSL证书异常等高风险特征，但网站内容显示为乌拉圭合法酒店的商业官网，未发现直接恶意行为证据，风险源于配置缺陷而非域名本身恶意性。,2025-08-13 16:44:13
